case,num_errors,error_dict,fidelity,alpha,beta,alpha_rec,beta_rec
347,1,{7: 'X'},1.0,0.35561647598334134,(0.9240279044083916-0.14039000635310953j),(0.3556164759833413+0j),(0.9240279044083916-0.14039000635310955j)
348,1,{6: 'Z'},1.0000000000000004,0.998819566979136,(-0.00913636269526157+0.04770743648858093j),(0.9988195669791361+0j),(-0.009136362695261588+0.04770743648858095j)
349,3,"{7: 'Z', 0: 'Y', 2: 'X'}",0.0,0.9995280422079162,(0.028446276916413785-0.011597507042670539j),0j,0j
350,1,{1: 'Y'},1.0,0.715956869553927,(-0.6914230266810784-0.09664346389548528j),(0.7159568695539271+0j),(-0.6914230266810784-0.0966434638954853j)
351,2,"{0: 'Y', 6: 'X'}",0.0,0.5290893295503566,(0.8186697200963304+0.22325852895992612j),0j,0j
352,3,"{2: 'Y', 6: 'Z', 5: 'Z'}",0.428207468611854,0.7472916458259796,(0.43783149210180583+0.4998587606540521j),(-0.4998587606540521+0.43783149210180594j),0.7472916458259796j
353,2,"{5: 'Y', 4: 'Z'}",1.0,0.9635021828506948,(-0.06812538825135597-0.25888699294778855j),0.9635021828506949j,(0.25888699294778855-0.06812538825135593j)
354,1,{5: 'X'},1.0,0.9890882132744538,(0.1175340536315528+0.08882709383112664j),(0.989088213274454+0j),(0.11753405363155284+0.08882709383112664j)
355,3,"{8: 'X', 7: 'X', 0: 'X'}",0.0,0.07034351918450188,(-0.979501076014941-0.1887575995670433j),0j,0j
356,2,"{3: 'Z', 4: 'Z'}",1.0,0.46027306323934986,(0.48787639912019043+0.7417043389638368j),(0.4602730632393499+0j),(0.4878763991201905+0.7417043389638368j)
357,3,"{0: 'Y', 6: 'Z', 8: 'Y'}",0.0,0.9957522984212372,(0.09008211773249766+0.019041330143970643j),0j,0j
358,2,"{2: 'Z', 5: 'Z'}",0.16474946488593442,0.9638046605237157,(0.210568298897573-0.16352849247806187j),(0.21056829889757306-0.16352849247806187j),(0.9638046605237157+0j)
359,2,"{6: 'Z', 4: 'Z'}",0.5168024636788745,0.7634740931859623,(0.4708016618854718+0.44210078511551026j),(0.4708016618854718+0.44210078511551026j),(0.7634740931859623+0j)
360,2,"{0: 'Y', 5: 'Y'}",0.0,0.999992060829404,(-0.003302452712368954-0.0022298170876366937j),0j,0j
361,3,"{3: 'Y', 4: 'X', 8: 'Z'}",0.0,0.6399946931068897,(0.7017329584622893-0.31301381407660084j),0j,0j
362,1,{6: 'X'},1.0,0.9992034329872298,(0.03983744897323332-0.002340334557209658j),(0.9992034329872298+0j),(0.039837448973233346-0.0023403345572096585j)
363,2,"{4: 'Y', 8: 'X'}",0.0,0.6794198558417135,(-0.05777296473034792+0.7314717657123145j),0j,0j
364,1,{8: 'Z'},1.0,0.26292233612450383,(-0.9615240901814471+0.07964464305635181j),(0.2629223361245038+0j),(-0.9615240901814472+0.07964464305635181j)
365,3,"{2: 'Z', 3: 'Y', 7: 'X'}",0.0,0.4599997911163644,(-0.6600278934576277-0.5939388621994587j),0j,0j
366,3,"{0: 'X', 7: 'X', 1: 'Y'}",0.0,0.8473188876270857,(-0.46420620133400203-0.2579986537047316j),0j,0j
367,3,"{6: 'Z', 3: 'Y', 5: 'X'}",0.0,0.21398978584328823,(0.2718933079091006-0.9382336599531007j),0j,0j
368,2,"{2: 'Y', 1: 'X'}",0.2969237337170542,0.4770182977448156,(-0.02038629967520719+0.8786568968614491j),(-0.4770182977448156+0j),(-0.020386299675207192+0.8786568968614491j)
369,2,"{1: 'X', 8: 'Z'}",0.0,0.8643418187823217,(-0.49172804934480013+0.10543597958773801j),0j,0j
370,3,"{5: 'Y', 8: 'Y', 4: 'Z'}",0.0,0.6747011106418609,(0.525745408905907+0.5180445698132546j),0j,0j
371,2,"{8: 'X', 1: 'Z'}",0.0,0.40344252043983037,(0.15048611603222864-0.9025453238384716j),0j,0j
