case_num,num_errors,error_str,fidelity,alpha_orig,beta_orig,alpha_rec,beta_rec
817,1,q1b=Z,0.9999999999999996,0.21972765765726535,0.9755612520290315,(0.21972765765726526+0j),(0.9755612520290313+0j)
818,2,q0=Y · q0b=X,0.9933340769885854,0.9991650177994333,0.04085666660238123,(-0.9991650177994331+0j),(0.04085666660238122+0j)
819,1,q1b=Y,0.9999999999999993,0.9999812917592732,0.006116872685890391,(0.9999812917592729+0j),(0.0061168726858903365+0j)
820,1,q0a=Y,0.9999999999999996,0.9661992018065794,0.2577966299786112,(0.966199201806579+0j),(0.25779662997861114+0j)
821,1,q1b=Z,0.9999999999999993,0.3569093102977088,0.9341390390208589,(0.3569093102977087+0j),(0.9341390390208586+0j)
822,1,q2a=X,0.9999999999999996,0.9809655444338682,0.19418187514174573,(0.980965544433868+0j),(0.19418187514174565+0j)
823,2,q0b=Z · q1=Y,0.07571911469357061,0.9903017925027068,0.13893293261831732,0.13893293261831724j,0.9903017925027066j
824,1,q2b=Y,0.9999999999999993,0.49900631492188297,0.8665983485260531,(0.49900631492188285+0j),(0.8665983485260528+0j)
825,1,q1a=X,0.9999999999999993,0.998769783513736,0.049587493785478644,(0.9987697835137357+0j),(0.04958749378547862+0j)
826,1,q0a=Z,0.9999999999999993,0.9340194065462409,0.357222267216096,(0.9340194065462406+0j),(0.35722226721609585+0j)
827,1,q1b=Z,0.9999999999999991,0.17711737340788694,0.9841897357913723,(0.1771173734078869+0j),(0.9841897357913718+0j)
828,1,q2a=X,0.9999999999999993,0.3492171854590265,0.9370418119700293,(0.34921718545902647+0j),(0.937041811970029+0j)
829,1,q0b=Y,0.9999999999999993,0.9522712931766937,0.30525298391921973,(0.9522712931766935+0j),(0.3052529839192197+0j)
830,1,q2a=Y,0.9999999999999996,0.15309846097441462,0.9882109396516847,(0.15309846097441457+0j),(0.9882109396516844+0j)
